kind,group,order,candidate,private_score,public_score,public_f1,public_ap,public_delta_vs_v1824a,public_ap_delta_vs_v1824a,public_role_change_rate,public_score_mae,private_role_change_rate,private_score_mae,private_score_max_abs,private_score_change_gt_0p05_rate,private_high_wolf_rate,nearest_known_private_weighted,risk_adjusted_index,nearest_known,output_path
future,charprior_queue,5,v1853e,,0.5941912034175195,0.5080639546165349,0.6516093692848426,0.05662974097368556,0.09438290162280916,0.0,0.057144268115942004,0.02518891687657431,0.08454439294710323,0.999,0.4282115869017632,0.2040302267002519,0.4437701277086656,5.32654053565571,v1400@0.43655/d=3.65; v1814a@0.45252/d=5.87; v1806b@0.44665/d=5.93,experiments/final_submission_package/charprior_queue/05_v1853e_queue05_v1850e_charprior_private.csv
future,charprior_fallback,1,v1853f,,0.5850379465840033,0.5080639546165349,0.6363539412289824,0.04747648414016936,0.07912747356694894,0.0,0.050691297101449255,0.0,0.06004413350125945,0.277379,0.4080604534005038,0.1889168765743073,0.45646438753321805,4.483574053815425,v1400@0.43655/d=4.96; v1823b@0.46492/d=5.77; v1824a@0.47119/d=5.77,experiments/final_submission_package/charprior_fallback/01_v1853f_v1850f_charprior_private.csv
future,charprior_fallback,2,v1853g,,0.5941912034175195,0.5080639546165349,0.6516093692848426,0.05662974097368556,0.09438290162280916,0.0,0.057144268115942004,0.0,0.07009078589420654,0.99405,0.42065491183879095,0.20151133501259447,0.4509880403589219,5.382555855554955,v1400@0.43655/d=4.96; v1821a@0.46455/d=5.87; v1810g@0.45462/d=6.05,experiments/final_submission_package/charprior_fallback/02_v1853g_v1850g_charprior_private.csv
future,balancedprior_queue,1,v1856a,,0.5903361896187123,0.5080639546165349,0.6451843462868305,0.0527747271748783,0.08795787862479709,0.0,0.045572902173912994,0.010075566750629723,0.06728720906801011,0.999,0.2518891687657431,0.21158690176322417,0.44792071452180127,5.069127573911004,v1400@0.43655/d=4.41; v1812b@0.45349/d=4.75; v1810g@0.45462/d=4.76,experiments/final_submission_package/balancedprior_queue/01_v1856a_queue01_v1850a_balancedprior_private.csv
future,balancedprior_queue,2,v1856b,,0.5903361896187123,0.5080639546165349,0.6451843462868305,0.0527747271748783,0.08795787862479709,0.0,0.045572902173912994,0.015113350125944584,0.06451642821158692,0.999,0.24685138539042822,0.20906801007556675,0.4467411794556736,5.066860571392112,v1400@0.43655/d=3.80; v1812b@0.45349/d=4.67; v1814a@0.45252/d=4.67,experiments/final_submission_package/balancedprior_queue/02_v1856b_queue02_v1850b_balancedprior_private.csv
future,balancedprior_queue,3,v1856c,,0.5903361896187123,0.5080639546165349,0.6451843462868305,0.0527747271748783,0.08795787862479709,0.0,0.045572902173912994,0.015113350125944584,0.06726202015113351,0.999,0.2518891687657431,0.21158690176322417,0.4469981901369507,5.061596087764909,v1400@0.43655/d=4.10; v1812b@0.45349/d=4.69; v1814a@0.45252/d=4.74,experiments/final_submission_package/balancedprior_queue/03_v1856c_queue03_v1850c_balancedprior_private.csv
future,balancedprior_queue,4,v1856d,,0.5903361896187123,0.5080639546165349,0.6451843462868305,0.0527747271748783,0.08795787862479709,0.0,0.045572902173912994,0.020151133501259445,0.07228632997481114,0.999,0.25440806045340053,0.20906801007556675,0.44440001390842193,5.04775565703443,v1400@0.43655/d=3.57; v1814a@0.45252/d=4.70; v1806b@0.44665/d=4.76,experiments/final_submission_package/balancedprior_queue/04_v1856d_queue04_v1850d_balancedprior_private.csv
future,balancedprior_queue,5,v1856e,,0.5903361896187123,0.5080639546165349,0.6451843462868305,0.0527747271748783,0.08795787862479709,0.0,0.045572902173912994,0.02518891687657431,0.07471290176322419,0.999,0.2594458438287154,0.20906801007556675,0.44421753394859936,5.035253518495388,v1400@0.43655/d=3.38; v1814a@0.45252/d=4.71; v1806b@0.44665/d=4.78,experiments/final_submission_package/balancedprior_queue/05_v1856e_queue05_v1850e_balancedprior_private.csv
future,balancedprior_fallback,1,v1856f,,0.5817738056883793,0.5080639546165349,0.6309137064029423,0.04421234324454537,0.07368723874090888,0.0,0.039079800724637646,0.0,0.04783551889168763,0.27895499999999995,0.22921914357682618,0.19899244332493704,0.4574725866118853,4.258789233774436,v1400@0.43655/d=4.17; v1823a@0.46492/d=4.21; v1824a@0.47119/d=4.21,experiments/final_submission_package/balancedprior_fallback/01_v1856f_v1850f_balancedprior_private.csv
future,balancedprior_fallback,2,v1856g,,0.5903361896187123,0.5080639546165349,0.6451843462868305,0.0527747271748783,0.08795787862479709,0.0,0.045572902173912994,0.0,0.05822608564231742,0.99405,0.24181360201511334,0.20906801007556675,0.4521077740835648,5.098339830837956,v1821a@0.46455/d=4.69; v1810g@0.45462/d=4.77; v1400@0.43655/d=4.89,experiments/final_submission_package/balancedprior_fallback/02_v1856g_v1850g_balancedprior_private.csv
future,portfolio_queue,1,v1856a,,0.5903361896187123,0.5080639546165349,0.6451843462868305,0.0527747271748783,0.08795787862479709,0.0,0.045572902173912994,0.010075566750629723,0.06728720906801011,0.999,0.2518891687657431,0.21158690176322417,0.44792071452180127,5.069127573911004,v1400@0.43655/d=4.41; v1812b@0.45349/d=4.75; v1810g@0.45462/d=4.76,experiments/final_submission_package/portfolio_queue/01_v1856a_risk_balanced_first_private.csv
future,portfolio_queue,2,v1853a,,0.5941912034175195,0.5080639546165349,0.6516093692848426,0.05662974097368556,0.09438290162280916,0.0,0.057144268115942004,0.010075566750629723,0.07804571284634758,0.999,0.4256926952141058,0.20654911838790932,0.4504529655777268,5.356968686789211,v1400@0.43655/d=4.49; v1810g@0.45462/d=5.86; v1821a@0.46455/d=5.92,experiments/final_submission_package/portfolio_queue/02_v1853a_max_proxy_second_private.csv
future,portfolio_queue,3,v1850a,,0.5852922620653069,0.5080639546165349,0.6367778003644883,0.047730799621472975,0.07955133270245485,0.0,0.04333641304347823,0.010075566750629723,0.06745025188916882,0.999,0.2518891687657431,0.21158690176322417,0.4480008486481835,4.564571775749313,v1400@0.43655/d=4.24; v1812b@0.45349/d=4.48; v1810g@0.45462/d=4.48,experiments/final_submission_package/portfolio_queue/03_v1850a_lowtail_fallback_private.csv
